Bank,First_Active_Month,Last_Active_Month
jalna merchants cooperativeertaive bank limited,2024-04-01,2025-10-01
jalore central cooperative bank limited,2024-04-01,2025-10-01
jamia cooperative bank limited,2024-04-01,2025-10-01
jammu and kashmir bank limited jkb,2024-04-01,2025-10-01
jammu and kashmir grameen bank,2024-04-01,2025-10-01
jammu and kashmir gramin bank,2024-04-01,2025-09-01
jammu central cooperative bank limited,2024-04-01,2025-10-01
jamnagar peoples cooperative bank limited,2024-04-01,2025-10-01
jamshedpur urban cooperative bank limited,2024-04-01,2025-10-01
jana small finance bank limited,2024-04-01,2025-10-01
janakalyan cooperative bank limited nashik,2025-05-01,2025-10-01
janakalyan sahakari bank limited,2024-04-01,2025-10-01
janakalyan urban cooperative bank limited kallam,2024-04-01,2025-10-01
janaseva sahakari bank borivali limited,2024-04-01,2025-10-01
janaseva sahakari bank borivili,2024-04-01,2025-10-01
janaseva sahakari bank borivli,2024-04-01,2025-09-01
janaseva sahakari bank limited,2024-04-01,2025-10-01
janaseva sahakari bank limited pune,2024-04-01,2025-10-01
janata cooperative bank limited harugeri,2024-04-01,2025-10-01
janata cooperative bank limited malegaon,2024-04-01,2025-10-01
janata sahakari bank limited,2024-04-01,2025-10-01
